"Gene","MeanDecreaseAccuracy","MeanDecreaseGini"
"TNS1",2.6684597171054,0.21648601808585
"HYAL1",2.56583211097043,0.181989028238149
"CLTB",2.56516929880641,0.254892890938557
"ITGA10",2.52949443475819,0.185579402470227
"EHD1",2.52698264742773,0.218125020133693
"SCG5",2.52289822005471,0.147930896797644
"CSF3R",2.2352927269625,0.161413496157758
"CDC42EP2",2.19911570486558,0.119065770729866
"FCHO1",2.14211014194039,0.117165714285714
"IL13RA2",2.11626522982976,0.174462752189341
"ITPK1",2.10800091043175,0.111579064384661
"GPR4",2.05939682398887,0.196036221422523
"MDK",2.04988745001435,0.124127786855774
"POSTN",2.01826503629849,0.188205282990289
"PTPRB",2.01010006091535,0.154700530947295
"SLCO4A1",1.98060267464624,0.164451152323744
"FGL1",1.9646471772899,0.141313512410707
"MPP3",1.919770207798,0.103640205606278
"GPX3",1.91762151635628,0.129576759113902
"NOTCH4",1.91452252052146,0.126733302522457
"BMP4",1.90160291767502,0.0526653815662695
"ADIPOR2",1.86049218457554,0.0920108682379791
"MMP25",1.83679736295192,0.0999503963300769
"TYMS",1.815237822541,0.165841205512532
"LIMS2",1.79147360077859,0.0948702301274998
"PRX",1.76195469731131,0.102294428550748
"LAMC3",1.73826846660842,0.119479537168695
"GDF15",1.73409907297958,0.123507259259997
"HMGCS1",1.72685706981744,0.135188011191984
"IGFBP2",1.7209606632198,0.112802485037731
"CBS",1.71390202645391,0.15082950129334
"UBL4A",1.69351958310289,0.0228537549407115
"MTMR12",1.69053344677122,0.0361697177924355
"UBTD1",1.68770474049973,0.0884730470230769
"IL15RA",1.68142647146069,0.0638838602687452
"FGR",1.67805776893108,0.114778759749764
"SERPINF1",1.65624253091621,0.105536254398807
"VIPR1",1.64678526695995,0.106118021792449
"IRX5",1.63736530665978,0.0560912087912088
"CEBPE",1.62358878350078,0.0114812781907121
"LSS",1.62282702415594,0.0403762921618015
"CTSK",1.62116818621593,0.0751097890003459
"SEMA3F",1.60868655820683,0.0667783314990095
"HIF3A",1.60110486657653,0.108502838284721
"ACTR1A",1.59765436456521,0.107564920137334
"GAMT",1.59242215026891,0.0267671208944794
"FAM107A",1.57653843578028,0.0819031397174254
"EFNB2",1.57280537875194,0.108873207341488
"IL1RL1",1.56784746934409,0.0519650935228294
"PSD3",1.54396572754445,0.117196118598383
"TPST2",1.51996053840717,0.069059411044031
"GRK6",1.51751823181846,0.050110853432282
"PADI4",1.49746975683361,0.0819065934065934
"G6PD",1.46228885170427,0.0234159844054581
"MAGED1",1.4403800991263,0.0230698213724228
"P2RY1",1.43937122394133,0.0905256449764924
"DEFA4",1.41705050316284,0.0284707482993197
"EIF5",1.41683160322302,0.0195025728987993
"C6",1.41675431502912,0.0513116442879155
"TSKS",1.41675431502912,0.0113007357859532
"TM4SF4",1.41607569277225,0.0567116036137775
"CDH15",1.41581709674024,0.03537575030012
"PLTP",1.41581709674024,0.0179571428571429
"SPATA20",1.41581709674024,0.00770294245468722
"CHFR",1.41558301166167,0.0397148431423386
"EPAS1",1.4151969792487,0.0796704043126684
"COL3A1",1.41491498431128,0.0390303433001107
"TEX2",1.41459540782567,0.0205989743589744
"ASNS",1.41439147703068,0.0078408195429472
"LCMT1",1.4131632880473,0.00586666666666667
"RPS6KA2",1.41285987182396,0.0670983940790392
"CGGBP1",1.41251955470294,0.0216775592131674
"CFI",1.41213611231777,0.0550154497354497
"MVD",1.41160824954502,0.0186978021978022
"NMUR1",1.41026212279561,0.0140121212121212
"TLR1",1.40970105183647,0.0119111111111111
"PHC2",1.40941842143699,0.0601795185234131
"PHKG2",1.4077281904785,0.00767982456140351
"EGFL6",1.4061815160008,0.0231968253968254
"BAIAP2",1.40480205824375,0.0663027210884354
"RPH3AL",1.40480205824375,0.00785830721003134
"TXNRD1",1.40480205824375,0.0226976264189886
"IER2",1.40383621938688,0.0374915938592
"HSPBP1",1.40321401903048,0.0306844444444444
"GSK3B",1.40275209380409,0.0495924963924964
"USP19",1.40181443875405,0.0614177173703489
"ZMYM4",1.38942503594182,0.0268781432276888
"MEOX1",1.38769818840823,0.0556518944419873
"C7",1.38492103825674,0.0439908170261111
"COL17A1",1.38372737664792,0.0623314285714286
"EIF5B",1.38317566693416,0.0485290994608353
"DPH5",1.38062136715865,0.0362180045942758
"ZBTB25",1.37997895932678,0.0743120652268193
"WNT7A",1.37836705658638,0.0811067534512596
"FURIN",1.37674764095028,0.0374764107308048
"LANCL1",1.37223250881853,0.0451472730972731
"COMP",1.36692904431769,0.0639587301587302
"CYP3A5",1.36600779223909,0.0677786523969619
"DENR",1.36600779223909,0.0633837915641542
"NES",1.36436948635955,0.0620164079459137
"FCN3",1.36134142267899,0.12667645178137
"SERPINB6",1.35991894159061,0.071276246170983
"ENTPD3",1.35699705556482,0.0529520249865078
"MGLL",1.35293670320526,0.0686193466860428
"ABCA7",1.3510288109442,0.0361885621156717
"CCDC59",1.3510288109442,0.0272596462361168
"SPATA2",1.35076920569046,0.0546428571428571
"MMP7",1.34733896880948,0.137698466026727
"TRIM25",1.34517385929392,0.0537177286008743
"CDH13",1.34406227991274,0.0173944444444444
"MVK",1.34406227991274,0.0112536687631027
"POLR2J",1.33790604427802,0.00942007112498916
"SPAST",1.33631615045521,0.0444087868180941
"TMEM14A",1.33631615045521,0.0401036414565826
"CNGB1",1.33419281824618,0.0172876351850069
"HYAL2",1.33262604784472,0.0501047619047619
"ICAM2",1.33096314650453,0.0564211606887606
"SLC30A3",1.3280556888735,0.0858744769332153
"TBL3",1.31808016451008,0.0310537047894093
"AQP5",1.30391616371535,0.0217403198653199
"NDRG3",1.29662538565291,0.0176308311763014
"TMEM106B",1.27416019239275,0.0248361435174995
"MYF6",1.26693979201741,0.0159347095761381
"PPP1R15A",1.2595996155333,0.110173432737113
"CXCL14",1.25052110006216,0.0357848239810504
"FLT1",1.24710926351988,0.0613010940225147
"SLN",1.24563391695614,0.0462101694915254
"KCNMB4",1.24031177282712,0.0928787429627947
"COL15A1",1.2359928926629,0.106370270951384
"SULT4A1",1.21261133458728,0.0267580952380952
"ASXL1",1.20848379447711,0.0399743543812509
"RALA",1.20383638065758,0.0523105590062112
"SCN1A",1.20185779024718,0.038481677148847
"KIF20A",1.19683262955482,0.0248214083117524
"CDH3",1.19542446875442,0.0841512348646552
"ABCC3",1.18991629607038,0.0167148936170213
"TRIM2",1.18981867753808,0.04065890366943
"WWC3",1.17702149916682,0.0667254453197076
"VPS4A",1.09160299583784,0.114248249768985
"GDI2",1.00456075789398,0.0646548514748293
"ACP2",1.00100150250438,0.0118407209348386
"ACTN1",1.00100150250438,0.00377777777777778
"ACTN2",1.00100150250438,0.0114733893557423
"ADAM12",1.00100150250438,0.00733333333333334
"ADAMTSL2",1.00100150250438,0.00390909090909091
"ADCY3",1.00100150250438,0.0139747424393486
"ADCY6",1.00100150250438,0.0043921568627451
"ADD2",1.00100150250438,0.00675555555555556
"ADRM1",1.00100150250438,0.0116767676767677
"AGR2",1.00100150250438,0.002
"AKAP11",1.00100150250438,0.0215046634674542
"ANK2",1.00100150250438,0.0032
"ANKRD1",1.00100150250438,0.0124444444444444
"AOC3",1.00100150250438,0.00369230769230769
"AP4E1",1.00100150250438,0.0156521739130435
"APOA1",1.00100150250438,0.0265154673283705
"APOBEC3B",1.00100150250438,0.012952380952381
"ARHGAP22",1.00100150250438,0.0164210526315789
"ARHGEF10",1.00100150250438,0.0158333333333333
"ARIH1",1.00100150250438,0.0114733893557423
"ARRB2",1.00100150250438,0.0104347826086956
"ATP9A",1.00100150250438,0.0169714285714286
"ATXN2L",1.00100150250438,0.00391111111111111
"BAALC",1.00100150250438,0.0295566502463054
"BACE2",1.00100150250438,0.0105
"BCAR3",1.00100150250438,0.00391836734693878
"BNIP3L",1.00100150250438,0.0144444444444444
"BTBD1",1.00100150250438,0.0113282051282051
"C1QTNF1",1.00100150250438,0.0072
"CA11",1.00100150250438,0.00391666666666667
"CACNA1B",1.00100150250438,0.0276571428571428
"CALB2",1.00100150250438,0.0140297914597815
"CAMK1D",1.00100150250438,0.0198193548387097
"CAP2",1.00100150250438,0.00342857142857143
"CCR7",1.00100150250438,0.00723809523809524
"CDC14B",1.00100150250438,0.0171851851851852
"CDS2",1.00100150250438,0.006
"CEACAM3",1.00100150250438,0.00392
"CFHR2",1.00100150250438,0.006
"CHRNA10",1.00100150250438,0.0106666666666667
"CLDN5",1.00100150250438,0.0243018867924528
"CLEC4E",1.00100150250438,0.0142333333333333
"CNTN1",1.00100150250438,0.00685714285714286
"COL13A1",1.00100150250438,0.0169671261930011
"COL1A1",1.00100150250438,0.0261753694581281
"CORO7",1.00100150250438,0.00693333333333333
"CSF2RA",1.00100150250438,0.0189585253456221
"CSPG4",1.00100150250438,0.00373333333333333
"CST1",1.00100150250438,0.0075
"CST3",1.00100150250438,0.00461271249076127
"CTSB",1.00100150250438,0.00392857142857143
"CTSD",1.00100150250438,0.00501333333333334
"CUEDC1",1.00100150250438,0.0192789666473877
"CXCL10",1.00100150250438,0.0198933333333333
"CYBA",1.00100150250438,0.0252014087607308
"CYP1A2",1.00100150250438,0.032178021978022
"CYP27B1",1.00100150250438,0.0102
"CYP7A1",1.00100150250438,0.0039245283018868
"CYSLTR2",1.00100150250438,0.00745073891625616
"DDX24",1.00100150250438,0.0112060606060606
